"ID","NAME","UNIQUE_NAME","GAMETIME","TIMEZONE","STDTIME","HOWTOPLAY","PLAY_TYPE","TOP_PRIZE","TOP_PRIZE_ODDS","PRIZE_ROLLOVER","PRIZE_PERI_MUTUAL","INFO_URL","INFO","IS_MULTI_STATE","IS_MULTI_COUNTRY","Status","PRIZE_MATRIX","isCardGame","NUM_OF_BALLS","DIS_GAME_TYPE","TINBU_GAME_ID","isJackpot","isPayout","HIGHEST_JACKPOT","HIGHEST_JACKPOT_DATE","TICKET_PRICE","ADVANCED_PLAYS","CUTOFFTIME"
475,Cash 4 Evening,Tennessee-Cash 4 Evening,"6:28 PM",US/Central,"07:28 PM",Choose 4 digits from 0 to 9.,"4-Digits+1","$5,000",,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Matchto Play</strong></th><th><strong>Odds</strong></th><th><strong>Prizeses</strong></th></tr></thead><tbody><tr><td>Straight</td><td><p>1 in 10,000</p></td><td><p>$5,000</p></td></tr><tr><td>4-Way Any order</td><td><p>1 in 2,500</p></td><td><p>$1,198</p></td></tr><tr><td>6-Way Any order</td><td><p>1 in 1,667</p></td><td><p>$800</p></td></tr><tr><td>12-Way Any order</td><td><p>1 in 833</p></td><td><p>&nbsp;$400</p></td></tr><tr><td>24-Way Any order</td><td><p>1 in 417</p></td><td><p>$200</p></td></tr><tr><td>Straight/Any order 4-Way</td><td><p>1 in 2,500</p></td><td><p>$3,099/$600</p></td></tr><tr><td>Straight/Any order 6-Way</td><td><p>1 in 1,667</p></td><td><p>$2,900/ $400</p></td></tr><tr><td>Straight/Any order 12-Way</td><td><p>1 in 833</p></td><td><p>$2,700/ $200</p></td></tr><tr><td>Straight/Any order 24-Way</td><td><p>1 in 417</p></td><td><p>$2,600/ $100</p></td></tr><tr><td>4-Way Combo Play</td><td><p>1 in 2,500</p></td><td><p>$5,000</p></td></tr><tr><td>6-Way Combo Play</td><td><p>1 in 1,667</p></td><td><p>$5,000</p></td></tr><tr><td>12-Way Combo Play</td><td><p>1 in 833</p></td><td><p>$5,000</p></td></tr><tr><td>24-Way Combo Play</td><td><p>1 in 417</p></td><td><p>$5,000</p></td></tr></tbody></table>",F,"4+1","4-Digits + 1 (Lucky Sum)",TND,F,F,,,"1$",Up to 7  days consecutive drawings,Before 5 minutes of time of draw
476,Pick 3 Morning,Texas-Pick 3 Morning,"10:00 AM",US/Central,"11:00 AM",Choose 3 digits from 0 to 9.,"3-Digits+1",$500,,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Matchto Play</strong></th><th><strong>Odds</strong></th><th><strong>Prizeses</strong></th></tr></thead><tbody><tr><td>Exact order</td><td><p>1 in 1000</p></td><td><p>$500</p></td></tr><tr><td>3-Way any order</td><td><p>1 in 333</p></td><td><p>$160</p></td></tr><tr><td>6-Way any order</td><td><p>1 in 167</p></td><td><p>$80</p></td></tr><tr><td>3-Way exact/any</td><td><p>1 in 333</p></td><td><p>$330/ $80</p></td></tr><tr><td>6-Way exact/any</td><td><p>1 in 166</p></td><td><p>$290/ $40</p></td></tr><tr><td>3-Way Combo</td><td><p>1 in 333</p></td><td><p>$500</p></td></tr><tr><td>6-Way Combo</td><td><p>1 in 167</p></td><td><p>$500</p></td></tr></tbody></table>",F,"3+1","3-Digits + 1 (Sum It Up)",TXJ,F,F,,,"1$",Up to 24 consecutive drawings,Before 9:50 am CT on draw day
477,Pick 3 Day,Texas-Pick 3 Day,"12:27 PM",US/Central,"01:27 PM",Choose 3 digits from 0 to 9.,"3-Digits+1",$500,,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Matchto Play</strong></th><th><strong>Odds</strong></th><th><strong>Prizeses</strong></th></tr></thead><tbody><tr><td>Exact order</td><td><p>1 in 1000</p></td><td><p>$500</p></td></tr><tr><td>3-Way any order</td><td><p>1 in 333</p></td><td><p>$160</p></td></tr><tr><td>6-Way any order</td><td><p>1 in 167</p></td><td><p>$80</p></td></tr><tr><td>3-Way exact/any</td><td><p>1 in 333</p></td><td><p>$330/ $80</p></td></tr><tr><td>6-Way exact/any</td><td><p>1 in 166</p></td><td><p>$290/ $40</p></td></tr><tr><td>3-Way Combo</td><td><p>1 in 333</p></td><td><p>$500</p></td></tr><tr><td>6-Way Combo</td><td><p>1 in 167</p></td><td><p>$500</p></td></tr></tbody></table>",F,"3+1","3-Digits + 1 (Sum It Up)",TXC,F,F,,,"1$",Up to 24 consecutive drawings,Before 12:17 p.m. CT on draw day
478,Pick 3 Evening,Texas-Pick 3 Evening,"6:00 PM",US/Central,"07:00 PM",Choose 3 digits from 0 to 9.,"3-Digits+1",$500,,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Matchto Play</strong></th><th><strong>Odds</strong></th><th><strong>Prizeses</strong></th></tr></thead><tbody><tr><td>Exact order</td><td><p>1 in 1000</p></td><td><p>$500</p></td></tr><tr><td>3-Way any order</td><td><p>1 in 333</p></td><td><p>$160</p></td></tr><tr><td>6-Way any order</td><td><p>1 in 167</p></td><td><p>$80</p></td></tr><tr><td>3-Way exact/any</td><td><p>1 in 333</p></td><td><p>$330/ $80</p></td></tr><tr><td>6-Way exact/any</td><td><p>1 in 166</p></td><td><p>$290/ $40</p></td></tr><tr><td>3-Way Combo</td><td><p>1 in 333</p></td><td><p>$500</p></td></tr><tr><td>6-Way Combo</td><td><p>1 in 167</p></td><td><p>$500</p></td></tr></tbody></table>",F,"3+1","3-Digits + 1 (Sum It Up)",TXK,F,F,,,"1$",Up to 24 consecutive drawings,Before 05:50 p.m. CT on draw day
479,Pick 3 Night,Texas-Pick 3 Night,"10:12 PM",US/Central,"11:12 PM",Choose 3 digits from 0 to 9.,"3-Digits+1",$500,,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Matchto Play</strong></th><th><strong>Odds</strong></th><th><strong>Prizeses</strong></th></tr></thead><tbody><tr><td>Exact order</td><td><p>1 in 1000</p></td><td><p>$500</p></td></tr><tr><td>3-Way any order</td><td><p>1 in 333</p></td><td><p>$160</p></td></tr><tr><td>6-Way any order</td><td><p>1 in 167</p></td><td><p>$80</p></td></tr><tr><td>3-Way exact/any</td><td><p>1 in 333</p></td><td><p>$330/ $80</p></td></tr><tr><td>6-Way exact/any</td><td><p>1 in 166</p></td><td><p>$290/ $40</p></td></tr><tr><td>3-Way Combo</td><td><p>1 in 333</p></td><td><p>$500</p></td></tr><tr><td>6-Way Combo</td><td><p>1 in 167</p></td><td><p>$500</p></td></tr></tbody></table>",F,"3+1","3-Digits + 1 (Sum It Up)",TXA,F,F,,,"1$",Up to 7  days consecutive drawings,Before 10:02 p.m. CT on draw day
480,Daily 4 Morning,Texas-Daily 4 Morning,"10:00 AM",US/Central,"11:00 AM",Choose 4 digits from 0 to 9.,"4-Digits+1","$5,000",,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Matchto Play</strong></th><th><strong>Odds</strong></th><th><strong>Prizeses</strong></th></tr></thead><tbody><tr><td>Straight</td><td><p>1 in 10,000</p></td><td><p>$5,000</p></td></tr><tr><td>4-Way Box</td><td><p>1 in 2,500</p></td><td><p>$1200</p></td></tr><tr><td>6-Way Box</td><td><p>1 in 1,667</p></td><td><p>$800</p></td></tr><tr><td>12-Way Box</td><td><p>1 in 833</p></td><td><p>&nbsp;$400</p></td></tr><tr><td>24-Way Box</td><td><p>1 in 417</p></td><td><p>$200</p></td></tr><tr><td>Straight/Box 4-Way</td><td><p>1 in 2,500</p></td><td><p>$3,100/$600</p></td></tr><tr><td>Straight/Box 6-Way</td><td><p>1 in 1,667</p></td><td><p>$2,900/ $400</p></td></tr><tr><td>Straight/Box 12-Way</td><td><p>1 in 833</p></td><td><p>$2,700/ $200</p></td></tr><tr><td>Straight/Box 24-Way</td><td><p>1 in 417</p></td><td><p>$2,600/ $100</p></td></tr><tr><td>4-Way Combo Play</td><td><p>1 in 2,500</p></td><td><p>$5,000</p></td></tr><tr><td>6-Way Combo Play</td><td><p>1 in 1,667</p></td><td><p>$5,000</p></td></tr><tr><td>12-Way Combo Play</td><td><p>1 in 833</p></td><td><p>$5,000</p></td></tr><tr><td>24-Way Combo Play</td><td><p>1 in 417</p></td><td><p>$5,000</p></td></tr></tbody></table>",F,"4+1","4-Digits + 1 (Sum It Up)",TXL,F,F,,,"1$",Up to 24 consecutive drawings,Before 9:50 am CT on draw day
481,Daily 4 Day,Texas-Daily 4 Day,"12:27 PM",US/Central,"01:27 PM",Choose 4 digits from 0 to 9.,"4-Digits+1","$5,000",,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Matchto Play</strong></th><th><strong>Odds</strong></th><th><strong>Prizeses</strong></th></tr></thead><tbody><tr><td>Straight</td><td><p>1 in 10,000</p></td><td><p>$5,000</p></td></tr><tr><td>4-Way Box</td><td><p>1 in 2,500</p></td><td><p>$1200</p></td></tr><tr><td>6-Way Box</td><td><p>1 in 1,667</p></td><td><p>$800</p></td></tr><tr><td>12-Way Box</td><td><p>1 in 833</p></td><td><p>&nbsp;$400</p></td></tr><tr><td>24-Way Box</td><td><p>1 in 417</p></td><td><p>$200</p></td></tr><tr><td>Straight/Box 4-Way</td><td><p>1 in 2,500</p></td><td><p>$3,100/$600</p></td></tr><tr><td>Straight/Box 6-Way</td><td><p>1 in 1,667</p></td><td><p>$2,900/ $400</p></td></tr><tr><td>Straight/Box 12-Way</td><td><p>1 in 833</p></td><td><p>$2,700/ $200</p></td></tr><tr><td>Straight/Box 24-Way</td><td><p>1 in 417</p></td><td><p>$2,600/ $100</p></td></tr><tr><td>4-Way Combo Play</td><td><p>1 in 2,500</p></td><td><p>$5,000</p></td></tr><tr><td>6-Way Combo Play</td><td><p>1 in 1,667</p></td><td><p>$5,000</p></td></tr><tr><td>12-Way Combo Play</td><td><p>1 in 833</p></td><td><p>$5,000</p></td></tr><tr><td>24-Way Combo Play</td><td><p>1 in 417</p></td><td><p>$5,000</p></td></tr></tbody></table>",F,"4+1","4-Digits + 1 (Sum It Up)",TXB,F,F,,,"1$",Up to 24 consecutive drawings,Before 12:17 p.m. CT on draw day
482,Daily 4 Evening,Texas-Daily 4 Evening,"6:00 PM",US/Central,"07:00 PM",Choose 4 digits from 0 to 9.,"4-Digits+1","$5,000",,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Matchto Play</strong></th><th><strong>Odds</strong></th><th><strong>Prizeses</strong></th></tr></thead><tbody><tr><td>Straight</td><td><p>1 in 10,000</p></td><td><p>$5,000</p></td></tr><tr><td>4-Way Box</td><td><p>1 in 2,500</p></td><td><p>$1200</p></td></tr><tr><td>6-Way Box</td><td><p>1 in 1,667</p></td><td><p>$800</p></td></tr><tr><td>12-Way Box</td><td><p>1 in 833</p></td><td><p>&nbsp;$400</p></td></tr><tr><td>24-Way Box</td><td><p>1 in 417</p></td><td><p>$200</p></td></tr><tr><td>Straight/Box 4-Way</td><td><p>1 in 2,500</p></td><td><p>$3,100/$600</p></td></tr><tr><td>Straight/Box 6-Way</td><td><p>1 in 1,667</p></td><td><p>$2,900/ $400</p></td></tr><tr><td>Straight/Box 12-Way</td><td><p>1 in 833</p></td><td><p>$2,700/ $200</p></td></tr><tr><td>Straight/Box 24-Way</td><td><p>1 in 417</p></td><td><p>$2,600/ $100</p></td></tr><tr><td>4-Way Combo Play</td><td><p>1 in 2,500</p></td><td><p>$5,000</p></td></tr><tr><td>6-Way Combo Play</td><td><p>1 in 1,667</p></td><td><p>$5,000</p></td></tr><tr><td>12-Way Combo Play</td><td><p>1 in 833</p></td><td><p>$5,000</p></td></tr><tr><td>24-Way Combo Play</td><td><p>1 in 417</p></td><td><p>$5,000</p></td></tr></tbody></table>",F,"4+1","4-Digits + 1 (Sum It Up)",TXM,F,F,,,"1$",Up to 24 consecutive drawings,Before 05:50 p.m. CT on draw day
483,Daily 4 Night,Texas-Daily 4 Night,"10:12 PM",US/Central,"11:12 PM",Choose 4 digits from 0 to 9.,"4-Digits+1","$5,000",,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Matchto Play</strong></th><th><strong>Odds</strong></th><th><strong>Prizeses</strong></th></tr></thead><tbody><tr><td>Straight</td><td><p>1 in 10,000</p></td><td><p>$5,000</p></td></tr><tr><td>4-Way Box</td><td><p>1 in 2,500</p></td><td><p>$1200</p></td></tr><tr><td>6-Way Box</td><td><p>1 in 1,667</p></td><td><p>$800</p></td></tr><tr><td>12-Way Box</td><td><p>1 in 833</p></td><td><p>&nbsp;$400</p></td></tr><tr><td>24-Way Box</td><td><p>1 in 417</p></td><td><p>$200</p></td></tr><tr><td>Straight/Box 4-Way</td><td><p>1 in 2,500</p></td><td><p>$3,100/$600</p></td></tr><tr><td>Straight/Box 6-Way</td><td><p>1 in 1,667</p></td><td><p>$2,900/ $400</p></td></tr><tr><td>Straight/Box 12-Way</td><td><p>1 in 833</p></td><td><p>$2,700/ $200</p></td></tr><tr><td>Straight/Box 24-Way</td><td><p>1 in 417</p></td><td><p>$2,600/ $100</p></td></tr><tr><td>4-Way Combo Play</td><td><p>1 in 2,500</p></td><td><p>$5,000</p></td></tr><tr><td>6-Way Combo Play</td><td><p>1 in 1,667</p></td><td><p>$5,000</p></td></tr><tr><td>12-Way Combo Play</td><td><p>1 in 833</p></td><td><p>$5,000</p></td></tr><tr><td>24-Way Combo Play</td><td><p>1 in 417</p></td><td><p>$5,000</p></td></tr></tbody></table>",F,"4+1","4-Digits + 1 (Sum It Up)",TXD,F,F,,,"1$",Up to 7  days consecutive drawings,Before 10:02 p.m. CT on draw day
484,Cash Five,Texas-Cash Five,"10:12 PM",US/Central,"11:12 PM",select 5 numbers from 1 to 35.,"5/35","$25,000",,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Match</strong></th><th><strong>Prize</strong></th><th><strong>Odds</strong></th></tr></thead><tbody><tr><td>5 of 5</td><td>$25,000</td><td>1:324,632</td></tr><tr><td>4 of 5</td><td>$350</td><td>1:2,164</td></tr><tr><td>3 of 5</td><td>$15</td><td>1:75</td></tr><tr><td>2 of 5</td><td>Free cash five quick pick ticket</td><td>1:8</td></tr></tbody></table>",F,"5","5/35",TX2,F,F,,,"1$",Up to 12 consecutive drawings,Before 10:02 p.m. CT on draw day
485,Lotto Texas,Texas-Lotto Texas,"10:12 PM",US/Central,"11:12 PM",select 6 numbers from 1 to 54.,"6/54",,,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Match</strong></th><th><strong>Prize</strong></th><th><strong>Odds</strong></th></tr></thead><tbody><tr><td>6 of 6</td><td>Jackpot</td><td>1:25,827,165</td></tr><tr><td>5 of 6</td><td>$2,000</td><td>1:89,678</td></tr><tr><td>4 of 6</td><td>$50</td><td>1:1,526</td></tr><tr><td>3 of 6</td><td>$3(Guaranteed)</td><td>1:75</td></tr></tbody></table>",F,"6","6/54",TX1,T,F,,,"2$",Up to 15 consecutive drawings,Before 10:02 p.m. CT on draw day
486,All or Nothing Morning,Texas-All or Nothing Morning,"10:00 AM",US/Central,"11:00 AM",select 12 numbers from 1 to 24.,"12/24","$250,000",,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Match</strong></th><th><strong>Prize</strong></th><th><strong>Odds</strong></th></tr></thead><tbody><tr><td>12</td><td>$250,000</td><td>1:2,704,156</td></tr><tr><td>11</td><td>$500</td><td>1:18,779</td></tr><tr><td>10</td><td>$50</td><td>1:621</td></tr><tr><td>9</td><td>$10</td><td>1:56</td></tr><tr><td>8</td><td>$2</td><td>1:11</td></tr><tr><td colspan=""3"">&nbsp;</td></tr><tr><td>4</td><td>$2</td><td>1:11</td></tr><tr><td>3</td><td>$10</td><td>156</td></tr><tr><td>2</td><td>$50</td><td>1:621</td></tr><tr><td>1</td><td>$500</td><td>1:18,779</td></tr><tr><td>0</td><td>$250,000</td><td>1:2,704,156</td></tr></tbody></table>",F,"12","12/24",TXF,F,F,,,"2$",Up to 24 consecutive drawings,Before 9:50 am CT on draw day
487,All or Nothing Evening,Texas-All or Nothing Evening,"6:00 PM",US/Central,"07:00 PM",select 12 numbers from 1 to 24.,"12/24","$250,000",,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Match</strong></th><th><strong>Prize</strong></th><th><strong>Odds</strong></th></tr></thead><tbody><tr><td>12</td><td>$250,000</td><td>1:2,704,156</td></tr><tr><td>11</td><td>$500</td><td>1:18,779</td></tr><tr><td>10</td><td>$50</td><td>1:621</td></tr><tr><td>9</td><td>$10</td><td>1:56</td></tr><tr><td>8</td><td>$2</td><td>1:11</td></tr><tr><td colspan=""3"">&nbsp;</td></tr><tr><td>4</td><td>$2</td><td>1:11</td></tr><tr><td>3</td><td>$10</td><td>156</td></tr><tr><td>2</td><td>$50</td><td>1:621</td></tr><tr><td>1</td><td>$500</td><td>1:18,779</td></tr><tr><td>0</td><td>$250,000</td><td>1:2,704,156</td></tr></tbody></table>",F,"12","12/24",TXH,F,F,,,"2$",Up to 24 consecutive drawings,Before 05:50 p.m. CT on draw day
488,Pick 3 Day,Virginia-Pick 3 Day,"2:00 PM",US/Eastern,"02:00 PM",Choose 3 digits from 0 to 9.,"3-Digits+1",$500,,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Matchto Play</strong></th><th><strong>Odds</strong></th><th><strong>Prizeses</strong></th></tr></thead><tbody><tr><td>Straight</td><td><p>1:1000</p></td><td><p>$500</p></td></tr><tr><td>3-Way any order</td><td><p>1:333</p></td><td><p>$160</p></td></tr><tr><td>6-Way Box</td><td><p>1:166</p></td><td><p>$80</p></td></tr><tr><td>Straight/any 3-Way</td><td><p>1:1000/1:500</p></td><td><p>$330/$80</p></td></tr><tr><td>Straight/any 6-Way</td><td><p>1:1000/1:200</p></td><td><p>$290/$40</p></td></tr><tr><td>3-Way Combo Play</td><td><p>1:333</p></td><td><p>$500</p></td></tr><tr><td>6-Way Combo Play</td><td><p>1:166</p></td><td><p>$500</p></td></tr><tr><td>Front pair</td><td><p>1:100</p></td><td><p>$50</p></td></tr><tr><td>Back pair</td><td><p>1:100</p></td><td><p>$50</p></td></tr><tr><td>Split pair</td><td><p>1:100</p></td><td><p>$50</p></td></tr></tbody></table>",F,"3+1","3-Digits + 1 (Fire Ball)",VAA,F,F,,,"1$",Up to 91 consecutive draws,Before 1:53 p.m. every draw day
489,Pick 3 Night,Virginia-Pick 3 Night,"11:00 PM",US/Eastern,"11:00 PM",Choose 3 digits from 0 to 9.,"3-Digits+1",$500,,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Matchto Play</strong></th><th><strong>Odds</strong></th><th><strong>Prizeses</strong></th></tr></thead><tbody><tr><td>Straight</td><td><p>1:1000</p></td><td><p>$500</p></td></tr><tr><td>3-Way any order</td><td><p>1:333</p></td><td><p>$160</p></td></tr><tr><td>6-Way Box</td><td><p>1:166</p></td><td><p>$80</p></td></tr><tr><td>Straight/any 3-Way</td><td><p>1:1000/1:500</p></td><td><p>$330/$80</p></td></tr><tr><td>Straight/any 6-Way</td><td><p>1:1000/1:200</p></td><td><p>$290/$40</p></td></tr><tr><td>3-Way Combo Play</td><td><p>1:333</p></td><td><p>$500</p></td></tr><tr><td>6-Way Combo Play</td><td><p>1:166</p></td><td><p>$500</p></td></tr><tr><td>Front pair</td><td><p>1:100</p></td><td><p>$50</p></td></tr><tr><td>Back pair</td><td><p>1:100</p></td><td><p>$50</p></td></tr><tr><td>Split pair</td><td><p>1:100</p></td><td><p>$50</p></td></tr></tbody></table>",F,"3+1","3-Digits + 1 (Fire Ball)",VAB,F,F,,,"1$",Up to 91 consecutive draws, Before 10:45 p.m. every draw day
490,Pick 4 Day,Virginia-Pick 4 Day,"2:00 PM",US/Eastern,"02:00 PM",Choose 4 digits from 0 to 9.,"4-Digits+1","$5,000",,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Matchto Play</strong></th><th><strong>Odds</strong></th><th><strong>Prizeses</strong></th></tr></thead><tbody><tr><td>Exact</td><td><p>1:10,000</p></td><td><p>$5,000</p></td></tr><tr><td>4-Way Any order</td><td><p>1:2,500</p></td><td><p>$1200</p></td></tr><tr><td>6-Way Any order</td><td><p>1:1,666</p></td><td><p>$800</p></td></tr><tr><td>12-Way Any order</td><td><p>1:833</p></td><td><p>&nbsp;$400</p></td></tr><tr><td>24-Way Any order</td><td><p>1:416</p></td><td><p>$200</p></td></tr><tr><td>Exact/Any order 4-Way</td><td><p>1:10000/1:3333</p></td><td><p>$3,100/$600</p></td></tr><tr><td>Exact/Any order 6-Way</td><td><p>1:10000/1:2000</p></td><td><p>$2,900/ $400</p></td></tr><tr><td>Exact/Any order 12-Way</td><td><p>1:10000/1:909</p></td><td><p>$2,700/ $200</p></td></tr><tr><td>Exact/Any order 24-Way</td><td><p>1:10000/1:434</p></td><td><p>$2,600/ $100</p></td></tr><tr><td>4-Way Combo Play</td><td><p>1:2,500</p></td><td><p>$5,000</p></td></tr><tr><td>6-Way Combo Play</td><td><p>1:1,666</p></td><td><p>$5,000</p></td></tr><tr><td>12-Way Combo Play</td><td><p>1:833</p></td><td><p>$5,000</p></td></tr><tr><td>24-Way Combo Play</td><td><p>1:416</p></td><td><p>$5,000</p></td></tr></tbody></table>",F,"4+1","4-Digits + 1 (Fire Ball)",VAC,F,F,,,"1$",Up to 91 consecutive draws,Before 1:53 p.m. every draw day
491,Pick 4 Night,Virginia-Pick 4 Night,"11:00 PM",US/Eastern,"11:00 PM",Choose 4 digits from 0 to 9.,"4-Digits+1","$5,000",,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Matchto Play</strong></th><th><strong>Odds</strong></th><th><strong>Prizeses</strong></th></tr></thead><tbody><tr><td>Exact</td><td><p>1:10,000</p></td><td><p>$5,000</p></td></tr><tr><td>4-Way Any order</td><td><p>1:2,500</p></td><td><p>$1200</p></td></tr><tr><td>6-Way Any order</td><td><p>1:1,666</p></td><td><p>$800</p></td></tr><tr><td>12-Way Any order</td><td><p>1:833</p></td><td><p>&nbsp;$400</p></td></tr><tr><td>24-Way Any order</td><td><p>1:416</p></td><td><p>$200</p></td></tr><tr><td>Exact/Any order 4-Way</td><td><p>1:10000/1:3333</p></td><td><p>$3,100/$600</p></td></tr><tr><td>Exact/Any order 6-Way</td><td><p>1:10000/1:2000</p></td><td><p>$2,900/ $400</p></td></tr><tr><td>Exact/Any order 12-Way</td><td><p>1:10000/1:909</p></td><td><p>$2,700/ $200</p></td></tr><tr><td>Exact/Any order 24-Way</td><td><p>1:10000/1:434</p></td><td><p>$2,600/ $100</p></td></tr><tr><td>4-Way Combo Play</td><td><p>1:2,500</p></td><td><p>$5,000</p></td></tr><tr><td>6-Way Combo Play</td><td><p>1:1,666</p></td><td><p>$5,000</p></td></tr><tr><td>12-Way Combo Play</td><td><p>1:833</p></td><td><p>$5,000</p></td></tr><tr><td>24-Way Combo Play</td><td><p>1:416</p></td><td><p>$5,000</p></td></tr></tbody></table>",F,"4+1","4-Digits + 1 (Fire Ball)",VAD,F,F,,,"1$",Up to 91 consecutive draws, Before 10:45 p.m. every draw day
492,Cash 5 Day,Virginia-Cash 5 Day,"2:00 PM",US/Eastern,"02:00 PM",select 5 numbers from 1 to 45.,"5/45","$100,000",,F,F,,,F,F,Ignore,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Match</strong></th><th><strong>Prize</strong></th><th><strong>Odds</strong></th></tr></thead><tbody><tr><td>5 of 5</td><td>$100,000</td><td>1: 278,256</td></tr><tr><td>4 of 5</td><td>$100</td><td>1:1,919</td></tr><tr><td>3 of 5</td><td>$5</td><td>1:69</td></tr></tbody></table>",F,"5","5/45",VA1,F,F,,,"1$",,
493,Daily Game,Washington-Daily Game,"8:00 PM",US/Pacific,"11:00 PM",Choose 3 digits from 0 to 9.,"3-Digits",$500,,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Match to Play</strong></th><th><strong>Odds</strong></th><th><strong>Prizeses</strong></th></tr></thead><tbody><tr><td>Straight</td><td><p>1:1000</p></td><td><p>$500</p></td></tr><tr><td>Box</td><td><p>1:167</p></td><td><p>$80</p></td></tr><tr><td>3-Way Box</td><td><p>1:333</p></td><td><p>$160</p></td></tr><tr><td>Straight/Box</td><td><p>1:167</p></td><td><p>$290/$40</p></td></tr><tr><td>Straight/any 3-Way</td><td><p>1:333</p></td><td><p>$330/$80</p></td></tr><tr><td>Super Box</td><td><p>1:167</p></td><td><p>$500</p></td></tr><tr><td>3-Way Super Box</td><td><p>1:333</p></td><td><p>$500</p></td></tr><tr><td>Front pair</td><td><p>1:100</p></td><td><p>$50</p></td></tr><tr><td>Back pair</td><td><p>1:100</p></td><td><p>$50</p></td></tr></tbody></table>",F,"3","3-Digits",WAA,F,F,,,"1$",Up to 25 consecutive draws,Before 7:45 p.m. on everyday
494,Match 4,Washington-Match 4,"8:00 PM",US/Pacific,"11:00 PM",select 4 numberss from 1 to 24.,"4/24","$10,000",,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Match</strong></th><th><strong>Prize</strong></th><th><strong>Odds</strong></th></tr></thead><tbody><tr><td>4 White balls</td><td>$10,000</td><td>1:10600</td></tr><tr><td>3 White balls</td><td>$20</td><td>1:133</td></tr><tr><td>2 White balls</td><td>$2</td><td>1:9.32</td></tr></tbody></table>",F,"4","4/24",WA7,F,F,,,"1$",Up to 25 consecutive draws,Before 7:45 p.m. on everday
495,Hit 5,Washington-Hit 5,"8:00 PM",US/Pacific,"11:00 PM",select 5 numbers from 1 to 42.,"5/42",,,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th><strong>Match</strong></th><th><strong>Prize</strong></th><th><strong>Odds</strong></th></tr></thead><tbody><tr><td>5 White balls</td><td>Cashpot</td><td>1:576,000</td></tr><tr><td>4 White balls</td><td>$100</td><td>1:3390</td></tr><tr><td>3 White balls</td><td>$20</td><td>1:103</td></tr><tr><td>2 White balls</td><td>$2</td><td>1:9.62</td></tr></tbody></table>",F,"5","5/42",WA6,T,F,,,"1$",Up to 25 consecutive draws,Before 7:45 p.m. on everday
496,Daily Keno,Washington-Daily Keno,"8:00 PM",US/Pacific,"11:00 PM",select 10 numbers from 1 to 80.,"10/80","$500,000",,F,F,,,F,F,Active,"<table class=""table table-bordered""><thead><tr class=""result-table-heading""><th>MATCH</th><th>PRIZE FOR $1 BET</th><th>ODDS</th></tr></thead><tbody><tr><td>10</td><td>$100,000</td><td>1 in 8.91 Million</td></tr><tr><td>9</td><td>$5,000</td><td>1 in 163 Thousand</td></tr><tr><td>8</td><td>$500</td><td>1 in 7.38 Thousand</td></tr><tr><td>7</td><td>$50</td><td>1 in 621</td></tr><tr><td>6</td><td>$5</td><td>1 in 87.1</td></tr><tr><td>5</td><td>$2</td><td>1 in 19.4</td></tr><tr><td>0</td><td>$3</td><td>1 in 21.8</td></tr></tbody></table>",F,"20","10/80",WA4,F,F,,,"1$",Up to 25 consecutive draws,Before 7:45 p.m. on everday
